"","X","title","doi"
"42",512,"Leveraging Machine Learning and Real-World Data to Predict Chronic Obstructive Pulmonary Disease Exacerbations.","10.2147/COPD.S536395"
"43",516,"Prediction of Early Recurrence After Bronchial Arterial Chemoembolization in Non-small Cell Lung Cancer Patients Using Dual-energy CT: An Interpretable Model Based on SHAP Methodology.","10.1016/j.acra.2025.07.039"
"44",531,"Cluster analysis of hepatocellular carcinoma prognosis using preoperative alpha-fetoprotein and des-gamma-carboxy prothrombin levels: a multi-institutional study.","10.1016/j.gassur.2025.101980"
"45",544,"Development and validation of a nomogram for cerebral hemorrhage in patients with carotid stenosis undergoing stenting: a multicenter retrospective study.","10.1136/jnis-2024-022022"
"46",549,"Construction of a nomogram model for predicting residual or recurrent cervical intraepithelial neoplasia after the loop electrosurgical excision procedure.","10.1093/ajcp/aqaf125"
"47",560,"Developing an accessible dementia assessment tool: Leveraging a residual network, the trail making test, and demographic data.","10.1177/13872877251359889"
"48",568,"Thrombus Size Matters: A Risk Assessment Model for Predicting Pulmonary Embolism in Isolated Distal Deep Vein Thrombosis.","10.1016/j.acra.2025.04.057"
"49",583,"Salivary microbiome and serum metabolomics add to clinical biomarkers to predict 6-month hospitalizations in a multicenter cirrhosis outpatient cohort.","10.1097/HEP.0000000000001462"
"50",590,"Microsatellite-Stable Gastric Cancer Can be Classified into 2 Molecular Subtypes with Different Immunotherapy Response and Prognosis Based on Gene Sequencing and Computational Pathology.","10.1016/j.labinv.2025.104101"
"51",595,"Predictive value of early postoperative copeptin after cardiac surgery: A two-centre prospective cohort study.","10.1097/EJA.0000000000002251"
"52",614,"Prediction of NIHSS Scores and Acute Ischemic Stroke Severity Using a Cross-attention Vision Transformer Model with Multimodal MRI.","10.1016/j.acra.2025.05.031"
"53",648,"Dementia and MCI Detection Based on Comprehensive Facial Expression Analysis From Videos During Conversation.","10.1109/JBHI.2025.3526553"
"54",651,"Influencing Factors and Nomogram Model Construction of Cancer-related Fatigue in Primary Liver Cancer Patients Post-TACE Treatment.","10.1016/j.acra.2025.07.043"
"55",660,"Magnetic Resonance Imaging (MRI)-Adapted Prostate Cancer Risk Tool Incorporating Cribriform and Intraductal Carcinoma.","10.1016/j.modpat.2025.100852"
"56",675,"Development and Validation of a Novel Prediction Model for Hearing Loss From Cisplatin Chemotherapy.","10.1200/JCO-24-01861"
"57",678,"Leveraging Electronic Health Record Data and Up-to-Date Clinical Guidelines for High-Accuracy Clinical Diabetes Drug and Dosage Recommendation.","10.1055/a-2707-2862"
"58",682,"Patient Personality Influences Early Overall Satisfaction Following Primary Total Hip and Knee Arthroplasty.","10.1016/j.arth.2025.03.083"
"59",684,"Complication Trajectories in Total Pharyngolaryngectomy: Comprehensive Complication Index Analysis.","10.1002/lary.32149"
"60",703,"Measuring High-sensitive Cardiac Troponin Concentrations Predicted Hospital Deaths in Children With Severe Coronavirus Disease 2019.","10.1097/INF.0000000000004964"
"61",704,"Assessing children who are acutely ill in general practice using the National PEWS and LqSOFA clinical scores: a retrospective cohort study.","10.3399/BJGP.2023.0638"
"62",716,"A Novel Two-step Classification Approach for Differentiating Bone Metastases From Benign Bone Lesions in SPECT/CT Imaging.","10.1016/j.acra.2025.06.010"
"63",718,"THE VALUE OF HEPARIN-BINDING PROTEIN IN PREDICTING EARLY PNEUMONIA IN NEUROSURGICAL INTENSIVE CARE UNIT PATIENTS.","10.1097/SHK.0000000000002656"
"64",724,"MRI-Based Quantification of Intratumoral Heterogeneity Predicts Response in Hepatocellular Carcinoma Treated with Atezolizumab-Bevacizumab and TACE/HAIC.","10.1016/j.acra.2025.06.025"
"65",725,"The Hourly Apnea-Hypopnea Duration Better Correlates with OSA-Related Nocturnal Hypoxemia and Excessive Daytime Sleepiness Rather Than AHI.","10.2147/NSS.S505702"
"66",729,"Development and Validation of Machine Learning Models for Outcome Prediction in Patients with Poor-Grade Aneurysmal Subarachnoid Hemorrhage Following Endovascular Treatment.","10.2147/TCRM.S504745"
"67",731,"Magnetic Resonance Imaging Measurements of Maximum Thickness of Medial Meniscus Exceeding 10 mm Are Strongly Associated With Medial Meniscus Posterior Root Tear.","10.1016/j.arthro.2025.01.034"
"68",734,"sFlt-1/PlGF Ratio Predicts Short-Term Maternal-Fetal Outcomes in Chinese Hypertensive Pregnancies: A Prospective Cohort Study.","10.1161/HYPERTENSIONAHA.125.25022"
"69",739,"Profiling of Diagnostic Value of Serum CysC, β2-MG and α-Klotho in Early Acute Kidney Injury Caused by Acute Myocardial Infarction.","10.1002/ccd.31535"
"70",745,"A Novel Presurgical Risk Prediction Model for Chronic Post-Surgical Pain in Adults Undergoing Surgical Procedures: Development and Internal Validation of the P4-Prevoque Questionnaire [PERISCOPE Trial].","10.2147/JPR.S525692"
"71",747,"Amygdala Connectivity Alterations in High Myopia: A Resting-State fMRI Study with SVM-Based Classification.","10.2147/OPTH.S543962"
"72",749,"Blood Circulating LncRNAs: SNHG5 and ZFAS1 as Biomarkers Reflecting Cachexia Incidence in Chronic Heart Failure Patients.","10.1016/j.tjnut.2025.01.019"
"73",753,"Shear wave elastography values in endometrioma: Clinical findings and machine learning-based prediction models.","10.1002/ijgo.70159"
"74",759,"Head Angulation in Cone-beam Computed Tomography Acquisition: Effect on the Diagnostic Accuracy of Vertical Root Fracture Detection.","10.1016/j.joen.2025.05.020"
"75",761,"RPD: Regional Prior Distillation for Breast Cancer Diagnosis in Ultrasound Images.","10.1109/JBHI.2025.3595196"
"76",763,"Prognostic value of left atrial stiffness index in adults with repaired coarctation of aorta.","10.1093/ehjci/jeaf330"
"77",764,"Risk Factors for Histologic Chorioamnionitis Among Women with Prenatal Fever During Preterm Delivery: A Retrospective Cohort Study.","10.2147/IJWH.S542606"
"78",767,"Predicting Differential Renal Function in Children With Vesicoureteral Reflux Using Ultrasound.","10.1097/JU.0000000000004858"
"79",769,"Development and Validation of a Neonatal Hypothermia Prediction Model for In-Hospital Transport Using Machine Learning Algorithms: A Single-Center Retrospective Study.","10.2147/JMDH.S517499"
"80",772,"Artificial Intelligence in CT Angiography for the Detection of Coronary Artery Stenosis and Calcified Plaque: A Systematic Review and Meta-analysis.","10.1016/j.acra.2025.03.054"
"81",777,"Forecasting Hospitalization for Adult Asthma Patients in Emergency Departments Based on Multiple Environmental and Clinical Factors.","10.2147/JAA.S512405"
"82",792,"Quantitatively assessing daily functional impairment in dementia by imaging cerebrovascular correlates.","10.1177/13872877251333086"
"83",793,"Optimizing CTP in Posterior Circulation Infarction (POCI): A Comprehensive Analysis of CTP Postprocessing Algorithms for POCI.","10.3174/ajnr.A8833"
"84",795,"Could Right Coronary Artery-Aorta Angle be Used to Predict Atherosclerotic Lesion Localization in Critical Site of the Right Coronary Artery in Patients With Right Dominancy?","10.1002/ccd.31532"
"85",799,"Influencing and predictive factors of the decrease in the triglyceride-glucose index following sleeve gastrectomy.","10.1016/j.soard.2025.07.014"
"86",802,"Predicting patients with poor functional outcome after spontaneous aneurysmal subarachnoid hemorrhage: the predicting subarachnoid hemorrhage long-term outcome score.","10.3171/2025.2.JNS242210"
"87",804,"Clinical Utility of Salivary Steroid Profiling for the Differential Diagnosis of Adrenal Diseases.","10.1210/clinem/dgaf499"
"88",808,"Artificial intelligence for early detection of lung cancer in GPs' clinical notes: a retrospective observational cohort study.","10.3399/BJGP.2023.0489"
"89",811,"Prognostic Models for Overall and Disease-Specific Survival in Palate Squamous Cell Carcinoma: Implications for Postoperative Radiotherapy.","10.1002/hed.28172"
"90",813,"Which grading system better predicts 28-day mortality in nontraumatic subarachnoid hemorrhage: Traditional clinical scores or combined grading systems?","10.1111/acem.15121"
"91",826,"Expression of miR-339-3p and OPRM1 in relation to sperm function in male infertility.","10.1111/andr.70121"
"92",832,"Interpretable LLM-Based Detection of Loose Associations Using Synthetic Speech Data in Early Psychosis.","10.1093/schbul/sbaf125"
"93",836,"MRI Radiomics and Automated Habitat Analysis Enhance Machine Learning Prediction of Bone Metastasis and High-Grade Gleason Scores in Prostate Cancer.","10.1016/j.acra.2025.05.059"
"94",841,"Factors Influencing Chronic Pain After Hysterectomy for Uterine Fibroids: Development and Validation of a Nomogram Prediction Model.","10.2147/JPR.S523744"
"95",852,"A Fusion Model of ResNet and Vision Transformer for Efficacy Prediction of HIFU Treatment of Uterine Fibroids.","10.1016/j.acra.2025.08.054"
"96",854,"Development of an Intra- and Peritumoral Radiomics Nomogram Using Digital Breast Tomosynthesis for Preoperative Assessment of Ki-67 Expression in Invasive Breast Cancer.","10.1016/j.acra.2024.12.040"
"97",860,"Predictive Value of Postnatal Weight Gain Rate for Severe Retinopathy of Prematurity in Preterm Infants: A Retrospective Analysis.","10.2147/JMDH.S528155"
"98",867,"Death One Hour After Terminal Extubation in Children: Validation of a Machine Learning Model to Predict Cardiac Death After Withdrawal of Life-Sustaining Treatment in a Multicenter Cohort, 2009-2021.","10.1097/PCC.0000000000003772"
"99",868,"Optimizing responsive neurostimulation targeting based on interictal high-frequency oscillations and phase-amplitude coupling.","10.1111/epi.18675"
"100",869,"Determining a Treatment Threshold Value for Endometrial Thickness in Women with Breast Cancer Receiving Tamoxifen.","10.2147/IJWH.S531872"
"101",877,"Risk Factors for Postpartum Hemorrhage Following Vaginal Deliveries in China: A Case-Control Study of Second Births After IUD Removal.","10.2147/IJWH.S516263"
"102",880,"Prediction of the Serial Alignment Change after Opening-Wedge High Tibial Osteotomy Based on Coronal Plane Alignment of the Knee Using Machine Learning Algorithm.","10.1055/a-2525-4622"
"103",882,"Predictors of dural venous sinus pressure gradient in patients with idiopathic intracranial hypertension.","10.3171/2024.10.JNS241749"
"104",885,"Clinical Frailty Scale Assessment Before Cardiac Surgery.","10.1016/j.athoracsur.2025.10.028"
"105",894,"External Validation of an Artificial Intelligence Algorithm Using Biparametric MRI and Its Simulated Integration with Conventional PI-RADS for Prostate Cancer Detection.","10.1016/j.acra.2025.03.039"
"106",898,"Validity of HELT-E2S2 Score in Predicting Ischemic Stroke in Japanese Patients With Non-Valvular Atrial Fibrillation With Cardiac Implantable Electronic Devices.","10.1253/circj.CJ-24-0715"
"107",901,"Dynamic Early Survival Prediction Model for Hepatocellular Carcinoma Patients Treated With Atezolizumab and Bevacizumab: A Longitudinal Deep Learning Analysis.","10.1111/hepr.70005"
"108",909,"Diagnostic Evaluation of the Sysmex XN-1000V Lymphocyte Fluorescence for Differentiating Canine Nodal Large B-Cell and T-Cell Lymphoma.","10.1111/vco.70032"
"109",925,"Minimal Hepatic Encephalopathy in Cirrhotic Patients: A New Simple and Fast Digital Screening Method.","10.1002/ueg2.70004"
"110",935,"A Comparison of Stockholm3, Serum Biomarkers, and Risk Calculators to Predict Prostate Cancer in a Racially and Ethnically Diverse Cohort: Evaluation of the Stockholm3 Multiethnic SEPTA Trial.","10.1097/JU.0000000000004437"
"111",940,"Can Habitat-Based MRI Radiomics Distinguish Between T2 and T3 Stages in Rectal Cancer?","10.1016/j.acra.2025.04.017"
"112",946,"Assessing the Reliability of Pancreatic CT Imaging Biomarkers for Diabetes Prediction: A Dual Center Retrospective Study.","10.1016/j.acra.2025.02.047"
"113",954,"Effectiveness of Artificial Intelligence-Assisted Colposcopy in a Resource-Limited Population.","10.1097/AOG.0000000000006014"
"114",959,"Propofol-associated Hypertriglyceridemia: Development and Multicenter Validation of a Machine-Learning-Based Prediction Tool.","10.1177/08850666251342559"
"115",961,"Ultrasound-Based Assessment of Rectus Femoris Muscle Wasting as a Predictor of 28-Day Mortality in Septic Shock: A Prospective Study.","10.1177/08850666251370636"
"116",964,"Prediction of graft patency during the year following coronary artery bypass grafting: Preoperative computed tomography-derived fractional flow reserve versus intraoperative transit-time flow measurement.","10.1016/j.jtcvs.2025.08.030"
"117",973,"Long-Term Prognostic Value of Angiographic No-Reflow Phenomenon in Patients With Non-ST-Segment Elevation Myocardial Infarction.","10.1002/ccd.70350"
"118",978,"Development and Validation of Multiparametric MRI-based Clini-radiomic Model for Preoperative Prediction of Somatotroph Adenomas Subtypes: A Multicenter Study.","10.1016/j.acra.2025.08.066"
"119",983,"The Predictive Value of Preoperative Coronary Artery Calcium Score for Long-term Survival in Elderly Patients with Lung Cancer After Surgery.","10.1016/j.acra.2025.03.052"
"120",988,"Obesity indices and cardiometabolic diseases in postmenopausal women in Ilorin, Nigeria.","10.1080/13697137.2025.2496692"
"121",998,"A Risk Assessment Model for Predicting Perioperative Venous Thromboembolism in Patients Receiving Surgery under Anesthesia Care.","10.1097/ALN.0000000000005480"
"122",1003,"A Multimodal Model Based on Transvaginal Ultrasound-Based Radiomics to Predict the Risk of Peritoneal Metastasis in Ovarian Cancer: A Multicenter Study.","10.1016/j.acra.2024.12.074"
"123",1011,"Deep Learning on Histologic Slides Accurately Predicts Consensus Molecular Subtypes and Spatial Heterogeneity in Colon Cancer.","10.1016/j.modpat.2025.100877"
"124",1017,"Deep Learning Radiomics Nomogram Based on MRI for Differentiating between Borderline Ovarian Tumors and Stage I Ovarian Cancer: A Multicenter Study.","10.1016/j.acra.2024.12.067"
"125",1019,"Deep Learning-Based Multimodal Feature Interaction-Guided Fusion: Enhancing the Evaluation of EGFR in Advanced Lung Adenocarcinoma.","10.1016/j.acra.2025.04.071"
"126",1025,"Attention-Guided 3D CNN With Lesion Feature Selection for Early Alzheimer's Disease Prediction Using Longitudinal sMRI.","10.1109/JBHI.2024.3482001"
"127",1026,"Prediction model for safe contrast volume thresholds to prevent postcontrast acute kidney injury after endovascular abdominal aortic aneurysm repair.","10.1016/j.jvs.2025.05.041"
"128",1043,"Construction and validation of a nomogram for predicting fatigue in climacteric women.","10.1097/GME.0000000000002493"
"129",1056,"Analyzing Influencing Factors of Uterine Rupture in Pregnant Women with Scarred Uterus Undergoing Repeat Delivery and Evaluating the Predictive Value of Lower Uterine Anterior Wall Thickness.","10.2147/IJWH.S530520"
"130",1057,"Evaluation of cryptococcal antigen lateral flow assay in human immunodeficiency virus-negative cryptococcosis: a diagnostic accuracy study.","10.1016/j.cmi.2025.06.021"
"131",1061,"Optimal timing of endoscopic sagittal suturectomy.","10.3171/2024.11.PEDS24272"
"132",1075,"A Predictive Model Based on Machine Learning Algorithm for Vein Thrombosis After Ovarian Cancer Resection.","10.2147/IJWH.S550882"
"133",1078,"Predicting Microsatellite Instability in Endometrial Cancer by Multimodal Magnetic Resonance Radiomics Combined with Clinical Factors.","10.1016/j.acra.2025.08.002"
"134",1089,"Prediction of Tumor Budding Grading in Rectal Cancer Using a Multiparametric MRI Radiomics Combined with a 3D Vision Transformer Deep Learning Approach.","10.1016/j.acra.2025.03.046"
"135",1093,"Identifying pregnant women at high risk of HIV acquisition: An external validation assessment of an HIV risk assessment tool for pregnant women.","10.1097/QAI.0000000000003798"
"136",1117,"Tertiary lymphoid structures in HCC: Influence on immune cell profiles in tumors and on efficacy of adjuvant PD-1 inhibitor therapy after hepatectomy.","10.1097/HEP.0000000000001433"
"137",1152,"Assessing diagnostic accuracy of intravascular imaging for functionally significant coronary stenosis: updated findings from a meta-analysis.","10.1136/heartjnl-2024-324499"
"138",1166,"Prediction of Diffuse High-Grade Glioma Survival Outcomes Using Preoperative Whole-Brain Tractography-Based Resectability Metrics.","10.1227/neu.0000000000003668"
"139",1173,"Correlation of plaque vulnerability stratified by Carotid Plaque-Reporting and Data System with outcomes of endarterectomy vs stenting.","10.1016/j.jvs.2025.06.004"
"140",1181,"Portable cerebral blood flow monitor to detect large vessel occlusion in patients with suspected stroke.","10.1136/jnis-2024-021536"
"141",1182,"The Predictive Validity of the Danger Assessment for Immigrant Women (DA-I).","10.1177/10778012251391128"
"142",1187,"Deciphering risk factors for severe postherpetic neuralgia in patients with herpes zoster: an interpretable machine learning approach.","10.1136/rapm-2024-106003"
"143",1193,"Prevalence and Factors Associated with Insomnia Among Chronic Disease Patients in Bangladesh: A Machine Learning Study.","10.2147/NSS.S547335"
"144",1201,"Major cardiovascular event or death risk in obstructive sleep apnoea and the effect of positive airway pressure.","10.1183/13993003.00519-2025"
"145",1227,"Imaging and plasma biomarkers for pathological accumulation in Down syndrome.","10.1093/brain/awaf418"
"146",1232,"Exploring the Association Between Triglyceride-Glucose Indices and Their Derivatives With Obstructive Sleep Apnea: Insights From the National Health and Nutrition Examination Survey.","10.2147/NSS.S487596"
"147",1235,"Predicting surgical difficulty in robotic liver resection: applicability of laparoscopic scores.","10.1016/j.hpb.2025.12.007"
"148",1237,"pTRACK-generated normalised average T2 signal intensity and fistula volume are accurate and sensitive measures of perianal crohn's disease activity.","10.1093/bjr/tqaf263"
"149",1243,"Stratifying Endoscopic Submucosal Dissection Risks: A Validated Perforation Preoperative Risk Scoring Tool.","10.1097/SLA.0000000000006838"
"150",1254,"Multiparametric MRI Including T1ρ Mapping for Hepatic Fibrosis Assessment in Preclinical Models of Steatotic Liver Disease.","10.1097/RLI.0000000000001193"
"151",1259,"New wearable cardiac acoustic monitoring technology for evaluation of subclinical leaflet thrombosis after transcatheter aortic valve replacement.","10.1136/heartjnl-2024-324698"
"152",1271,"A Novel Risk Prediction Model for Hepatocellular Carcinoma in MASLD: A Multinational, Multicenter Cohort Study.","10.1016/j.cgh.2025.06.025"
"153",1274,"Early mortality in patients with acute ischemic stroke after endovascular stroke therapy.","10.1136/jnis-2025-023517"
"154",1294,"A Machine Learning and Bayesian Belief Network Approach to Predicting Cervical Cancer Risk: Implications for Risk Management.","10.2147/JMDH.S524132"
"155",1298,"AI-Assisted 3D Planning of CT Parameters for Personalized Femoral Prosthesis Selection in Total Hip Arthroplasty.","10.2147/TCRM.S521755"
"156",1308,"A Nomogram to Predict Mortality in Patients With Severe Oral and Maxillofacial Space Infections.","10.1111/odi.15256"
"157",1311,"Evaluation of the Voice and Communication Situation Questionnaire Developed With and for Transgender and Gender-Diverse People Presumed Female at Birth.","10.1044/2025_JSLHR-25-00285"
"158",1312,"AUCPro: AUC-Oriented Provable Robustness Learning.","10.1109/TPAMI.2025.3545639"
"159",1316,"Decreased Serum and Tissue Levels of Isthmin-1 in Patients With Idiopathic Granulomatous Mastitis: A Case-Control Study.","10.1155/jimr/6368073"
"160",1322,"Nomogram Model for Identifying the Risk of Coronary Heart Disease in Patients with Chronic Obstructive Pulmonary Disease Based on Deep Learning Radiomics and Clinical Data: A Multicenter Study.","10.2147/COPD.S539307"
"161",1332,"Longitudinal Changes in Peritoneal Transport and Their Impact on Dialysis Outcomes: A Machine Learning Approach Integrating Clinical and Biomarker Data.","10.1159/000545943"
"162",1351,"Complete blood count-derived biomarkers as indicators of systemic lupus erythematosus activity: a cross-sectional comparative study.","10.1136/lupus-2025-001795"
"163",1353,"Prognostic Factors and Clinical Prediction Score for Progressive Respiratory Failure in Severe COVID-19 Pneumonia Patients Treated with Tocilizumab: A Multicenter Study.","10.2147/TCRM.S567679"
"164",1356,"Association of Diaphragmatic Mobility and Thickening Fraction with Postoperative Pulmonary Complications in Patients Undergoing Thoracic Surgery and Their Application in Prediction.","10.2147/TCRM.S519646"
"165",1357,"Gait Characteristics and Neuroanatomical Alterations in Obstructive Sleep Apnea-Hypopnea Syndrome.","10.2147/NSS.S502204"
"166",1359,"Improving Breast Cancer Diagnosis in Ultrasound Images Using Deep Learning with Feature Fusion and Attention Mechanism.","10.1016/j.acra.2025.05.007"
"167",1360,"Performance of Different Comorbidity Indices in Predicting Mortality in Danish Pancreatic Cancer Patients.","10.2147/CLEP.S560098"
"168",1362,"Accuracy of the Metabolic and Bariatric Surgery Accreditation Quality Improvement Program risk/benefit calculator in predicting outcomes of revisional bariatric surgery.","10.1016/j.soard.2025.06.019"
"169",1364,"Development and validation of a prognostic nomogram for postoperative survival in hilar cholangiocarcinoma using SEER and institutional cohorts.","10.1016/j.hpb.2025.09.005"
"170",1379,"Prediction of seizure risk after repetitive mild traumatic brain injury in childhood.","10.3171/2025.1.PEDS2436"
"171",1404,"Estimating Periodontal Stability Using Computer Vision.","10.1177/00220345251316514"
"172",1407,"Leveraging natural language processing to enhance feedback-informed group therapy: A proof of concept.","10.1037/pst0000570"
"173",1411,"A Computed Tomography-Based Score to Predict Survival in Patients With Adrenocortical Carcinoma: A Proof-of-Concept Study.","10.1177/08465371251335170"
"174",1427,"Evaluation of the Diagnostic Utility of Combining Electromyography with Clinical and Pathological Indices in the Diagnosis of Diabetic Peripheral Neuropathy: A Retrospective Study.","10.2147/JMDH.S525731"
"175",1428,"The Air-Test score for prediction of postoperative pulmonary complications after general anaesthesia: analysis of harmonised trial data and a prospective observational cohort.","10.1016/j.bja.2025.11.010"
"176",1434,"Profiling Shared Cytotoxic Immune Signatures in SLE-Associated Coronary Injury Through Transcriptomics and Machine Learning.","10.2147/ITT.S539756"
"177",1442,"Interpretable Prognostic Modeling for Postoperative Pancreatic Cancer Using Multi-machine Learning and Habitat Radiomics: A Multi-center Study.","10.1016/j.acra.2025.04.025"
"178",1476,"Deep Learning-Enabled Ultrasound for Advancing Anterior Talofibular Ligament Injuries Classification: A Multicenter Model Development and Validation Study.","10.1016/j.acra.2025.07.013"
