"","X","title","doi","pdf"
"37",39,"Nomogram for predicting difficult transoral and submental thyroidectomy: a retrospective model development and validation study with large-scale population.","10.1007/s00464-025-11725-1","10.1007_s00464-025-11725-1"
"38",40,"Validation of a Novel Computational Fluid Dynamics Based Method for Assessing Intracoronary Flow: Combining Coronary Angiography and Fractional Flow Reserve.","10.1002/ccd.31498","10.1002_ccd.31498"
"39",41,"Evaluation of ultrasound accuracy in thyroid mass measurement and its impact on 131I treatment for Graves' disease.","10.3389/fendo.2025.1617229","10.3389_fendo.2025.1617229"
"40",42,"Predictive role of neutrophil percentage-to-albumin ratio in acute fulminant myocarditis patients receiving extracorporeal membrane oxygenation.","10.1007/s12519-025-00940-4","10.1007_s12519-025-00940-4"
"41",43,"Predicting Incident Type 2 Diabetes Using Wearable Activity and Polygenic Risk: A Survival-Modeling Study in All of Us.","10.1210/clinem/dgaf673","10.1210_clinem_dgaf673"
"42",45,"The effect of pre-procedural anxiety level on the quality of upper GI endoscopy in non-sedated patients: ""can the need for sedation be predicted?"".","10.1177/17562848251333025","10.1177_17562848251333025"
"43",46,"Early warning value of multiple serum indicators combined with ultrasound detection in girls with central precocious puberty.","10.3389/fendo.2025.1518764","10.3389_fendo.2025.1518764"
"44",47,"SHAP combined with machine learning to predict mortality risk in maintenance hemodialysis patients: a retrospective study.","10.3389/fmed.2025.1615950","10.3389_fmed.2025.1615950"
"45",48,"Association of Weight-Adjusted Waist Index with All-Cause and Cardiovascular Mortality in Patients with Chronic Obstructive Pulmonary Disease: A Retrospective Cohort Study.","10.2147/COPD.S545141","10.2147_COPD.S545141"
"46",49,"Psychometric validation of the Patient Health Questionnaire-9 in Chinese adolescent and adult psychiatric inpatient populations.","10.3389/fpsyt.2025.1657696","10.3389_fpsyt.2025.1657696"
"47",50,"Time-resolved ADC analysis differentiates stable vs. progressive brain injury in post-cardiac arrest patients.","10.1016/j.resuscitation.2025.110837","10.1016_j.resuscitation.2025.110837"
"48",51,"3D-printed electrochemical loop-mediated isothermal amplification (E-LAMP): A miniaturized and portable platform to detect methicillin-resistant Staphylococcus aureus (MRSA).","10.1016/j.aca.2025.344455","10.1016_j.aca.2025.344455"
"49",52,"Association between the body roundness index and female infertility: a cross-sectional study from NHANES.","10.3389/fendo.2025.1504878","10.3389_fendo.2025.1504878"
"50",53,"Splenic switch-off in three-dimensional adenosine stress cardiac magnetic resonance perfusion for differentiating true-negative from potentially false-negative studies identified by fractional flow reserve.","10.1016/j.jocmr.2025.101933","10.1016_j.jocmr.2025.101933"
"51",54,"Thrombospondin-2 is a performant biomarker of at-risk MASH and advanced MASH fibrosis in a large multicentre European cohort.","10.1136/gutjnl-2025-335598","10.1136_gutjnl-2025-335598"
